long_uh,larg_uh,nb_motifs,nb_unit,larg_rill,seuil_min,seuil_conv,rugo_strickler,sdr_max,ruissel_max,aggrstab,mwd,k_euro,surf_couvert,haut_canopee,coh,d50_sed,dens_sed,visc_fluide,dens_fluide,coeff_phi,pente_uh,aire_uh
74.4006791171477,589,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.024727,43822
169.997058798086,169.997058798086,2,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.026904,28899
68.5178571428571,56,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.016282,3837
36.1428571428571,56,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.015311,2024
164.784708028385,164.784708028385,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.018518,27154
38.3054545454545,275,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.019659,10534
108.588028169014,284,2,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.01987,30839
161.00931650063,161.00931650063,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.016576,25924
29.4903846153846,104,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.024545,3067
27.8640776699029,103,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.021807,2870
158.120207437253,158.120207437253,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.017768,25002
28.3941605839416,274,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.017186,7780
17.6462093862816,277,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.017464,4888
47.1401869158879,107,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.015252,5044
35.969387755102,98,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.011223,3525
159.216833280907,159.216833280907,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.01703,25350
1,3,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.007805,3
11.5,2,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.014739,23
21.8928571428571,28,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.019491,613
22.258064516129,31,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.01679,690
159.176003216565,159.176003216565,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.013121,25337
4.94505494505495,91,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.115184,450
37.990099009901,101,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.028822,3837
176.507790196354,176.507790196354,2,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.028408,31155
26.5754985754986,351,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.082104,9328
27.8991354466859,347,1,1,1,0.001,1e-06,5,0.25,50,8,6e-04,0.3,0.15,0.8,4,1e-05,2.65,1e-06,1,0.02,0.08201,9681
